Type,Category,Romanized,Variants,Cantonese,Mandarin,English,Source
phrase,Appellation,aa caa,,阿差,,"South Asian especially, Indian and Pakistanis",wikipedia:Hong_Kong_slanguage
phrase,Appellation,ban zai,,賓仔,,"Filipino boys and Filipino girls respectively, especially refer to Filipino domestic employees",wikipedia:Hong_Kong_slanguage
phrase,Appellation,ban mui,,賓妹,,"Filipino boys and Filipino girls respectively, especially refer to Filipino domestic employees",wikipedia:Hong_Kong_slanguage
phrase,Appellation,caai lou,,差佬,,Policemen and Policewomen respectively,wikipedia:Hong_Kong_slanguage
phrase,Appellation,caa po,,差婆,,Policemen and Policewomen respectively,wikipedia:Hong_Kong_slanguage
phrase,Appellation,daai ji lung,,大耳窿,,Literally means Big ear hole; Loanshark,wikipedia:Hong_Kong_slanguage
phrase,Appellation,faa saang jau,,花生友,,"Literally means ""Peanut guy"";  Bystanders / Onlookers",wikipedia:Hong_Kong_slanguage
phrase,Appellation,gaa zai,,㗎仔,,Japanese boys and Japanese girls respectively,wikipedia:Hong_Kong_slanguage
phrase,Appellation,gaa mui,,㗎妹,,Japanese boys and Japanese girls respectively,wikipedia:Hong_Kong_slanguage
phrase,Appellation,gam so si,,金鎖匙,,"Literally means ""Golden key""; Silver spoon (People who are born in rich families)",wikipedia:Hong_Kong_slanguage
phrase,Appellation,gwai lou,,鬼佬,,"referred to Gweilo; Caucasian men, Caucasian women, Caucasian boys and Caucasian girls respectively",wikipedia:Hong_Kong_slanguage
phrase,Appellation,gwai po,,鬼婆,,"referred to Gweilo; Caucasian men, Caucasian women, Caucasian boys and Caucasian girls respectively",wikipedia:Hong_Kong_slanguage
phrase,Appellation,gwai zai,,鬼仔,,"referred to Gweilo; Caucasian men, Caucasian women, Caucasian boys and Caucasian girls respectively",wikipedia:Hong_Kong_slanguage
phrase,Appellation,gwai mui,,鬼妹,,"referred to Gweilo; Caucasian men, Caucasian women, Caucasian boys and Caucasian girls respectively",wikipedia:Hong_Kong_slanguage
phrase,Appellation,ji ng zai,,二五仔,,"Literally means ""Two"" ""Five"" Son; Insurgent, rebel, traitor or snitch. This comes from Triad argot",wikipedia:Hong_Kong_slanguage
phrase,Appellation,lou si fat,,老屎忽,,"Literally means old buttocks (Alternatively, Old seafood - seafood sounds like Cantonese word ""屎忽""); Old fart",wikipedia:Hong_Kong_slanguage
phrase,Appellation,maa daa,,媽打,,"Sound like the English words ""Mother"", ""Father"", ""Brother"" and ""Sister"" respectively; Mother, Father, Brother and Sister respectively",wikipedia:Hong_Kong_slanguage
phrase,Appellation,faa daa,,花打,,"Sound like the English words ""Mother"", ""Father"", ""Brother"" and ""Sister"" respectively; Mother, Father, Brother and Sister respectively",wikipedia:Hong_Kong_slanguage
phrase,Appellation,baa daa,,巴打,,"Sound like the English words ""Mother"", ""Father"", ""Brother"" and ""Sister"" respectively; Mother, Father, Brother and Sister respectively",wikipedia:Hong_Kong_slanguage
phrase,Appellation,and si daa,,絲打,,"Sound like the English words ""Mother"", ""Father"", ""Brother"" and ""Sister"" respectively; Mother, Father, Brother and Sister respectively",wikipedia:Hong_Kong_slanguage
