Type,Category,Romanized,Variants,Cantonese,Mandarin,English,needs_review
phrase,Appellation,aa caa,,阿差,,"South Asian especially, Indian and Pakistanis",False
phrase,Appellation,and si daa,,絲打,,"Sound like the English words ""Mother"", ""Father"", ""Brother"" and ""Sister"" respectively; Mother, Father, Brother and Sister respectively",False
phrase,Appellation,baa daa,,巴打,,"Sound like the English words ""Mother"", ""Father"", ""Brother"" and ""Sister"" respectively; Mother, Father, Brother and Sister respectively",False
phrase,Appellation,ban mui,,賓妹,,"Filipino boys and Filipino girls respectively, especially refer to Filipino domestic employees",False
phrase,Appellation,ban zai,,賓仔,,"Filipino boys and Filipino girls respectively, especially refer to Filipino domestic employees",False
phrase,Appellation,caa po,,差婆,,Policemen and Policewomen respectively,False
phrase,Appellation,caai lou,,差佬,,Policemen and Policewomen respectively,False
phrase,Appellation,daai ji lung,,大耳窿,,Literally means Big ear hole; Loanshark,False
phrase,Appellation,faa daa,,花打,,"Sound like the English words ""Mother"", ""Father"", ""Brother"" and ""Sister"" respectively; Mother, Father, Brother and Sister respectively",False
phrase,Appellation,faa saang jau,,花生友,,"Literally means ""Peanut guy"";  Bystanders / Onlookers",False
phrase,Appellation,gaa mui,,㗎妹,,Japanese boys and Japanese girls respectively,False
phrase,Appellation,gaa zai,,㗎仔,,Japanese boys and Japanese girls respectively,False
phrase,Appellation,gam so si,,金鎖匙,,"Literally means ""Golden key""; Silver spoon (People who are born in rich families)",False
phrase,Appellation,gwai lou,,鬼佬,,"referred to Gweilo; Caucasian men, Caucasian women, Caucasian boys and Caucasian girls respectively",False
phrase,Appellation,gwai mui,,鬼妹,,"referred to Gweilo; Caucasian men, Caucasian women, Caucasian boys and Caucasian girls respectively",False
phrase,Appellation,gwai po,,鬼婆,,"referred to Gweilo; Caucasian men, Caucasian women, Caucasian boys and Caucasian girls respectively",False
phrase,Appellation,gwai zai,,鬼仔,,"referred to Gweilo; Caucasian men, Caucasian women, Caucasian boys and Caucasian girls respectively",False
phrase,Appellation,ji ng zai,,二五仔,,"Literally means ""Two"" ""Five"" Son; Insurgent, rebel, traitor or snitch. This comes from Triad argot",False
phrase,Appellation,lou si fat,,老屎忽,,"Literally means old buttocks (Alternatively, Old seafood - seafood sounds like Cantonese word ""屎忽""); Old fart",False
phrase,Appellation,maa daa,,媽打,,"Sound like the English words ""Mother"", ""Father"", ""Brother"" and ""Sister"" respectively; Mother, Father, Brother and Sister respectively",False
phrase,Appellation,sai man zai,,細蚊仔,,Literally means small mosquito; Children / Kids,False
phrase,Appellation,se wong,,蛇王,,Literally means Snake King; Could either describe someone who is a professional salary stealer or a professional snake catcher,False
phrase,Appellation,seoi jyu,,水魚,,"Literally means Water fish; 1). - Turtle or Trionychidae. 2.) - Easy mark (Someone who is easily deceived, fooled or victimised)",False
