Sentence,Cantonese,Mandarin,Note
Hii nei zi mm zi when start add-drop a?,hii 你知唔知幾時開始adp？,hii你知道什么时候开始adp吗,场景1 选课
Ho chi hai 2.14?,好似係2.14,好像是2.14,场景1
Nei shrg choose which cc? ngo follow you,你想揀邊個cc？我跟你,你想选哪个cc课，我跟你上,场景1  cc=Common Core，不是词表里的「看看」
Emmm ccch9018? My frd said leng grade,emmm ccch9018？我frd話靚grade,emm ccch9018？我朋友说好龟课（容易拿A的课）,场景1
"Ok then ccch9018, we can select the same tut later!",ok then ccch9018 我地之後可以揀同一個tut！,,场景1
Okkk rmb dousi yiu reg,okk 記得到時搶！,好的，到时候记得抢课！,场景1  reg vs 搶 待你确认
Pk ngo forgot yiu submit asm,仆街 我唔記得交asm,操我忘记交作业了,场景2 迟交功课
Omg nei faidi send email bei prof ask can mm can late submit,omg 你快d email prof得唔得補交,,场景2
Okkk later end lesson ngo hui ask har,好我陣間落堂ask ha,,场景2  漢字多一个开头「好」
Hii this week yurk ma,今個禮拜yurk ma？,这个星期约吗,
"ho ahhh, Mon?",好啊，Mon？,好呀，星期一？,
"Mon ngo mm duc, yiu bok zap, Tue can ma?",Mon我唔得，要幫人補習，Tue 可以嗎,,
horyi eat lunch tgt,可以一起食lunch,可以一起吃午饭,
Objectify jor zigei,物化左自己,物化了自己,
Wui mm wui ngo hai the earliest,會晤會我係最早到的,我会不会是最早到的,
I tst liu,我到尖沙咀鳥（語氣詞）,我到尖沙咀了,
Ngo mm gum liu,我唔敢鳥,我不敢了,
Next week u joi join ba,下個禮拜你再加入吧,下个星期你再加入吧,
dou bin lobesst mun, 到邊老best們,到哪里了老友们,
